"Date","Price","Open","High","Low","Vol.","Change %"
"02/16/2023","12,619.33","12,498.73","12,653.08","12,468.68","138.67M","-0.54%"
"02/15/2023","12,687.89","12,529.97","12,688.17","12,487.15","246.86M","0.77%"
"02/14/2023","12,590.89","12,410.01","12,627.40","12,358.59","272.42M","0.71%"
"02/13/2023","12,502.31","12,357.54","12,522.63","12,313.83","255.75M","1.60%"
"02/10/2023","12,304.92","12,309.51","12,372.89","12,204.28","266.69M","-0.62%"
"02/09/2023","12,381.17","12,676.53","12,679.32","12,328.25","308.10M","-0.91%"
"02/08/2023","12,495.38","12,680.03","12,709.45","12,471.19","306.44M","-1.83%"
"02/07/2023","12,728.27","12,474.25","12,771.57","12,421.54","318.36M","2.12%"
"02/06/2023","12,464.51","12,468.80","12,558.66","12,412.76","251.98M","-0.87%"
"02/03/2023","12,573.36","12,522.69","12,828.15","12,522.69","343.27M","-1.79%"
"02/02/2023","12,803.14","12,655.46","12,880.43","12,604.74","395.33M","3.56%"
"02/01/2023","12,363.10","12,084.52","12,456.80","12,010.74","342.54M","2.16%"
"01/31/2023","12,101.93","11,915.97","12,103.30","11,915.97","314.29M","1.59%"
"01/30/2023","11,912.39","12,047.05","12,086.56","11,906.69","277.93M","-2.09%"
"01/27/2023","12,166.60","12,001.32","12,248.15","12,001.32","343.86M","0.96%"
"01/26/2023","12,051.48","11,974.97","12,053.74","11,854.04","266.40M","2.00%"
"01/25/2023","11,814.69","11,636.01","11,841.81","11,550.46","254.58M","-0.27%"
"01/24/2023","11,846.64","11,804.13","11,889.37","11,780.25","213.95M","-0.22%"
"01/23/2023","11,872.54","11,653.69","11,918.84","11,619.14","289.33M","2.18%"
"01/20/2023","11,619.03","11,364.72","11,621.78","11,332.26","343.34M","2.86%"
"01/19/2023","11,295.67","11,345.53","11,387.61","11,251.94","258.59M","-1.00%"
"01/18/2023","11,410.29","11,634.80","11,690.02","11,403.49","270.21M","-1.27%"
"01/17/2023","11,557.19","11,531.29","11,614.03","11,484.02","261.63M","0.14%"
"01/13/2023","11,541.48","11,363.52","11,547.67","11,350.84","229.09M","0.71%"
"01/12/2023","11,459.61","11,442.89","11,499.69","11,246.02","264.80M","0.50%"
"01/11/2023","11,402.53","11,256.86","11,402.92","11,220.75","278.73M","1.76%"
"01/10/2023","11,205.78","11,069.05","11,206.52","11,051.70","231.44M","0.88%"
"01/09/2023","11,108.45","11,132.33","11,304.84","11,085.38","273.87M","0.62%"
"01/06/2023","11,040.35","10,807.93","11,082.59","10,696.92","315.22M","2.78%"
"01/05/2023","10,741.22","10,838.74","10,838.74","10,729.73","279.74M","-1.59%"
"01/04/2023","10,914.80","10,948.32","10,980.52","10,790.55","291.71M","0.48%"
"01/03/2023","10,862.64","11,039.69","11,091.70","10,771.59","293.99M","-0.70%"
"12/30/2022","10,939.76","10,835.59","10,942.01","10,778.64","224.00M","-0.10%"
"12/29/2022","10,951.05","10,797.65","10,980.82","10,776.64","229.51M","2.54%"
"12/28/2022","10,679.34","10,806.22","10,897.67","10,672.45","211.03M","-1.32%"
"12/27/2022","10,822.51","10,944.56","10,956.23","10,809.10","220.19M","-1.48%"
