Release Date,Time,Actual,Forecast,Previous
2023.02.14,08:30,6.40%,6.20%,6.50%
2023.01.12,08:30,6.50%,6.50%,7.10%
2022.12.13,08:30,7.10%,7.30%,7.70%
2022.11.10,08:30,7.70%,8.00%,8.20%
2022.10.13,07:30,8.20%,8.10%,8.30%
2022.09.13,07:30,8.30%,8.10%,8.50%
2022.08.10,07:30,8.50%,8.70%,9.10%
2022.07.13,07:30,9.10%,8.80%,8.60%
2022.06.10,07:30,8.60%,8.30%,8.30%
2022.05.11,07:30,8.30%,8.10%,8.50%
2022.04.12,07:30,8.50%,8.40%,7.90%
2022.03.10,08:30,7.90%,7.90%,7.50%
2022.02.10,08:30,7.50%,7.30%,7.00%
2022.01.12,08:30,7.00%,7.00%,6.80%
2021.12.10,08:30,6.80%,6.80%,6.20%
2021.11.10,08:30,6.20%,5.80%,5.40%
2021.10.13,07:30,5.40%,5.30%,5.30%
2021.09.14,07:30,5.30%,5.30%,5.40%
2021.08.11,07:30,5.40%,5.30%,5.40%
2021.07.13,07:30,5.40%,4.90%,5.00%
2021.06.10,07:30,5.00%,4.70%,4.20%
2021.05.12,07:30,4.20%,3.60%,2.60%
2021.04.13,07:30,2.60%,2.50%,1.70%
2021.03.10,08:30,1.70%,1.70%,1.40%
2021.02.10,08:30,1.40%,1.50%,1.30%
2021.01.13,08:30,1.40%,1.30%,1.20%
2020.12.10,08:30,1.20%,1.10%,1.20%
2020.11.12,08:30,1.20%,1.30%,1.40%
2020.10.13,07:30,1.40%,1.40%,1.30%
2020.09.11,07:30,1.30%,1.20%,1.00%
2020.08.12,07:30,1.00%,0.80%,0.60%
2020.07.14,07:30,0.60%,0.60%,0.10%
2020.06.10,07:30,0.10%,0.20%,0.30%
2020.05.12,07:30,0.30%,0.40%,1.50%
2020.04.10,07:30,1.50%,1.60%,2.30%
2020.03.11,07:30,2.30%,2.20%,2.50%
2020.02.13,08:30,2.50%,2.40%,2.30%
2020.01.14,08:30,2.30%,2.30%,2.10%
2019.12.11,08:30,2.10%,2.00%,1.80%
2019.11.13,08:30,1.80%,1.70%,1.70%
2019.10.10,07:30,1.70%,1.80%,1.70%
2019.09.12,07:30,1.70%,1.80%,1.80%
2019.08.13,07:30,1.80%,1.70%,1.60%
2019.07.11,07:30,1.60%,1.60%,1.80%
2019.06.12,07:30,1.80%,1.90%,2.00%
2019.05.10,07:30,2.00%,2.10%,1.90%
2019.04.10,07:30,1.90%,1.80%,1.50%
2019.03.12,07:30,1.50%,1.60%,1.60%
2019.02.13,08:30,1.60%,1.50%,1.90%
2019.01.11,08:30,1.90%,1.90%,2.20%
2018.12.12,08:30,2.20%,2.20%,2.50%
2018.11.14,08:30,2.50%,2.50%,2.30%
2018.10.11,07:30,2.30%,2.40%,2.70%
2018.09.13,07:30,2.70%,2.80%,2.90%
2018.08.10,07:30,2.90%,3.00%,2.90%
2018.07.12,07:30,2.90%,2.90%,2.80%
2018.06.12,07:30,2.80%,2.70%,2.50%
2018.05.10,07:30,2.50%,2.50%,2.40%
2018.04.11,07:30,2.40%,2.40%,2.20%
2018.03.13,07:30,2.20%,2.20%,2.10%
2018.02.14,08:30,2.10%,1.90%,2.10%
2018.01.12,08:30,2.10%,2.10%,2.20%
2017.12.13,08:30,2.20%,2.20%,2.00%
2017.11.15,08:30,2.00%,2.00%,2.20%
2017.10.13,07:30,2.20%,2.30%,1.90%
2017.09.14,07:30,1.90%,1.80%,1.70%
2017.08.11,07:30,1.70%,1.80%,1.60%
2017.07.14,07:30,1.60%,1.70%,1.90%
2017.06.14,07:30,1.90%,2.00%,2.20%
2017.05.12,07:30,2.20%,2.30%,2.40%
2017.04.14,07:30,2.40%,2.60%,2.70%
2017.03.15,07:30,2.70%,2.70%,2.50%
2017.02.15,08:30,2.50%,2.40%,2.10%
2017.01.18,08:30,2.10%,2.10%,1.70%
2016.12.15,08:30,1.70%,1.70%,1.60%
2016.11.17,08:30,1.60%,1.60%,1.50%
2016.10.18,07:30,1.50%,1.50%,1.10%
2016.09.16,07:30,1.10%,1.00%,0.80%
2016.08.16,07:30,0.80%,0.90%,1.00%
2016.07.15,07:30,1.00%,1.10%,1.00%
2016.06.16,07:30,1.00%,1.10%,1.10%
2016.05.17,07:30,1.10%,1.10%,0.90%
2016.04.14,07:30,0.90%,1.10%,1.00%
2016.03.16,07:30,1.00%,0.90%,1.40%
2016.02.19,08:30,1.40%,1.30%,0.70%
2016.01.20,08:30,0.70%,0.80%,0.50%
2015.12.15,08:30,0.50%,0.40%,0.20%
2015.11.17,08:30,0.20%,0.10%,0.00%
2015.10.15,07:30,0.00%,-0.10%,0.20%
2015.09.16,07:30,0.20%,0.20%,0.20%
2015.08.19,07:30,0.20%,0.20%,0.10%
2015.07.17,07:30,0.10%,0.10%,0.00%
2015.06.18,07:30,0.00%,0.00%,-0.20%
2015.05.22,07:30,-0.20%,-0.10%,-0.10%
2015.04.17,07:30,-0.10%,0.10%,0.00%
2015.03.24,07:30,0.00%,-0.10%,-0.10%
2015.02.26,08:30,-0.10%,-0.10%,0.80%
2015.01.16,08:30,0.80%,0.70%,1.30%
2014.12.17,08:30,1.30%,1.40%,1.70%
