Release Date,Time,Actual,Forecast,Previous
2023.02.01,14:00,4.75%,4.75%,4.50%
2022.12.14,14:00,4.50%,4.50%,4.00%
2022.11.02,13:00,4.00%,4.00%,3.25%
2022.09.21,13:00,3.25%,3.25%,2.50%
2022.07.27,13:00,2.50%,2.50%,1.75%
2022.06.15,13:00,1.75%,1.50%,1.00%
2022.05.04,13:00,1.00%,1.00%,0.50%
2022.03.16,13:00,0.50%,0.50%,0.25%
2022.01.26,14:00,0.25%,0.25%,0.25%
2021.12.15,14:00,0.25%,0.25%,0.25%
2021.11.03,13:00,0.25%,0.25%,0.25%
2021.09.22,13:00,0.25%,0.25%,0.25%
2021.07.28,13:00,0.25%,0.25%,0.25%
2021.06.16,13:00,0.25%,0.25%,0.25%
2021.04.28,13:00,0.25%,0.25%,0.25%
2021.03.17,13:00,0.25%,0.25%,0.25%
2021.01.27,14:00,0.25%,0.25%,0.25%
2020.12.16,14:00,0.25%,0.25%,0.25%
2020.11.05,14:00,0.25%,0.25%,0.25%
2020.09.16,13:00,0.25%,0.25%,0.25%
2020.07.29,13:00,0.25%,0.25%,0.25%
2020.06.10,13:00,0.25%,0.25%,0.25%
2020.04.29,13:00,0.25%,0.25%,0.25%
2020.03.15,16:00,0.25%,,1.25%
2020.03.03,10:00,1.25%,,1.75%
2020.01.29,14:00,1.75%,1.75%,1.75%
2019.12.11,14:00,1.75%,1.75%,1.75%
2019.10.30,13:00,1.75%,1.75%,2.00%
2019.09.18,13:00,2.00%,2.00%,2.25%
2019.07.31,13:00,2.25%,2.25%,2.50%
2019.06.19,13:00,2.50%,2.50%,2.50%
2019.05.01,13:00,2.50%,2.50%,2.50%
2019.03.20,13:00,2.50%,2.50%,2.50%
2019.01.30,14:00,2.50%,2.50%,2.50%
2018.12.19,14:00,2.50%,2.50%,2.25%
2018.11.08,14:00,2.25%,2.25%,2.25%
2018.09.26,13:00,2.25%,2.25%,2.00%
2018.08.01,13:00,2.00%,2.00%,2.00%
2018.06.13,13:00,2.00%,2.00%,1.75%
2018.05.02,13:00,1.75%,1.75%,1.75%
2018.03.21,13:00,1.75%,1.75%,1.50%
2018.01.31,14:00,1.50%,1.50%,1.50%
2017.12.13,14:00,1.50%,1.50%,1.25%
2017.11.01,13:00,1.25%,1.25%,1.25%
2017.09.20,13:00,1.25%,1.25%,1.25%
2017.07.26,13:00,1.25%,1.25%,1.25%
2017.06.14,13:00,1.25%,1.25%,1.00%
2017.05.03,13:00,1.00%,1.00%,1.00%
2017.03.15,13:00,1.00%,1.00%,0.75%
2017.02.01,14:00,0.75%,0.75%,0.75%
2016.12.14,14:00,0.75%,0.75%,0.50%
2016.11.02,13:00,0.50%,0.50%,0.50%
2016.09.21,13:00,0.50%,0.50%,0.50%
2016.07.27,13:00,0.50%,0.50%,0.50%
2016.06.15,13:00,0.50%,0.50%,0.50%
2016.04.27,13:00,0.50%,0.50%,0.50%
2016.03.16,13:00,0.50%,0.50%,0.50%
2016.01.27,14:00,0.50%,0.50%,0.50%
2015.12.16,14:00,0.50%,0.50%,0.25%
2015.10.28,13:00,0.25%,0.25%,0.25%
2015.09.17,13:00,0.25%,0.25%,0.25%
2015.07.29,13:00,0.25%,0.25%,0.25%
2015.06.17,13:00,0.25%,0.25%,0.25%
2015.04.29,13:00,0.25%,0.25%,0.25%
2015.03.18,13:00,0.25%,0.25%,0.25%
2015.01.28,14:00,0.25%,0.25%,0.25%
2014.12.17,14:00,0.25%,0.25%,0.25%
